Epoch: 540/800, Train Loss: -0.3537 (R:-0.632, KL:0.199, C:0.079, Z:0.489), Val: 1.4906
Epoch: 550/800, Train Loss: -0.3184 (R:-0.610, KL:0.199, C:0.093, Z:0.494), Val: 1.7044
Epoch: 560/800, Train Loss: -0.3611 (R:-0.706, KL:0.199, C:0.146, Z:0.450), Val: 1.4245
Epoch: 570/800, Train Loss: -0.4507 (R:-0.738, KL:0.199, C:0.089, Z:0.435), Val: 1.2884
Epoch: 580/800, Train Loss: -0.5056 (R:-0.778, KL:0.198, C:0.075, Z:0.418), Val: 1.3487
Epoch: 590/800, Train Loss: -0.5679 (R:-0.847, KL:0.197, C:0.082, Z:0.384), Val: 1.2016
Epoch: 600/800, Train Loss: -0.5749 (R:-0.858, KL:0.197, C:0.086, Z:0.380), Val: 1.5130
Epoch: 610/800, Train Loss: -0.6339 (R:-0.913, KL:0.196, C:0.083, Z:0.352), Val: 1.2373
Epoch: 620/800, Train Loss: -0.6269 (R:-0.907, KL:0.197, C:0.083, Z:0.356), Val: 1.4323
Epoch: 630/800, Train Loss: -0.7188 (R:-0.972, KL:0.196, C:0.056, Z:0.324), Val: 1.1634
Epoch: 640/800, Train Loss: -0.6690 (R:-0.992, KL:0.197, C:0.126, Z:0.314), Val: 1.2557
Epoch: 650/800, Train Loss: -0.6895 (R:-0.944, KL:0.195, C:0.060, Z:0.336), Val: 1.3325
Epoch: 660/800, Train Loss: -0.7149 (R:-0.958, KL:0.195, C:0.048, Z:0.329), Val: 1.0579
Epoch: 670/800, Train Loss: -0.7887 (R:-1.047, KL:0.194, C:0.064, Z:0.290), Val: 1.1966
Epoch: 680/800, Train Loss: -0.7785 (R:-1.045, KL:0.195, C:0.072, Z:0.290), Val: 1.2448
Epoch: 690/800, Train Loss: -0.7986 (R:-1.075, KL:0.193, C:0.084, Z:0.277), Val: 1.2625
Epoch: 700/800, Train Loss: -0.8649 (R:-1.105, KL:0.193, C:0.047, Z:0.264), Val: 1.1021
Early stopping triggered after 703 epochs
Loaded best model from epoch 643
